;[,60[;[,60[;*
60;[,60[;[,60[;*
61.5;[60,65[;[60,70[;*
62;[60,65[;[60,70[;*
62.5;[60,65[;[60,70[;*
63.75;[60,65[;[60,70[;*
64;[60,65[;[60,70[;*
64.25;[60,65[;[60,70[;*
64.31;[60,65[;[60,70[;*
64.75;[60,65[;[60,70[;*
65;[60,65[;[60,70[;*
65.25;[65,70[;[60,70[;*
65.38;[65,70[;[60,70[;*
65.5;[65,70[;[60,70[;*
66;[65,70[;[60,70[;*
66.25;[65,70[;[60,70[;*
67;[65,70[;[60,70[;*
67.63;[65,70[;[60,70[;*
68;[65,70[;[60,70[;*
69.5;[65,70[;[60,70[;*
70;[65,70[;[60,70[;*
71;[70,75[;[70,80[;*
71.75;[70,75[;[70,80[;*
72;[70,75[;[70,80[;*
72.25;[70,75[;[70,80[;*
72.5;[70,75[;[70,80[;*
73;[70,75[;[70,80[;*
